Date,Open,High,Low,Close,Adj Close,Volume
1992-11-22,1455.000000,1455.000000,1455.000000,1455.000000,1455.000000,0
1992-11-23,1458.400024,1458.400024,1458.400024,1458.400024,1458.400024,0
1992-11-24,1467.900024,1467.900024,1467.900024,1467.900024,1467.900024,0
1992-11-25,1459.000000,1459.000000,1459.000000,1459.000000,1459.000000,0
1992-11-26,1458.900024,1458.900024,1458.900024,1458.900024,1458.900024,0
1992-11-29,1456.400024,1456.400024,1456.400024,1456.400024,1456.400024,0
1992-11-30,1452.300049,1452.300049,1452.300049,1452.300049,1452.300049,0
1992-12-01,1446.800049,1446.800049,1446.800049,1446.800049,1446.800049,0
1992-12-02,1442.099976,1442.099976,1442.099976,1442.099976,1442.099976,0
1992-12-03,1443.199951,1443.199951,1443.199951,1443.199951,1443.199951,0
1992-12-06,1454.300049,1454.300049,1454.300049,1454.300049,1454.300049,0
1992-12-07,1480.300049,1480.300049,1480.300049,1480.300049,1480.300049,0
1992-12-08,1494.900024,1494.900024,1494.900024,1494.900024,1494.900024,0
1992-12-09,1515.099976,1515.099976,1515.099976,1515.099976,1515.099976,0
1992-12-10,1513.300049,1513.300049,1513.300049,1513.300049,1513.300049,0
1992-12-13,1525.900024,1525.900024,1525.900024,1525.900024,1525.900024,0
1992-12-14,1522.300049,1522.300049,1522.300049,1522.300049,1522.300049,0
1992-12-15,1508.500000,1508.500000,1508.500000,1508.500000,1508.500000,0
1992-12-16,1512.000000,1512.000000,1512.000000,1512.000000,1512.000000,0
1992-12-17,1529.400024,1529.400024,1529.400024,1529.400024,1529.400024,0
1992-12-20,1551.699951,1551.699951,1551.699951,1551.699951,1551.699951,0
1992-12-21,1543.500000,1543.500000,1543.500000,1543.500000,1543.500000,0
1992-12-22,1536.400024,1536.400024,1536.400024,1536.400024,1536.400024,0
1992-12-23,1547.599976,1547.599976,1547.599976,1547.599976,1547.599976,0
1992-12-24,null,null,null,null,null,null
1992-12-27,null,null,null,null,null,null
1992-12-28,1553.500000,1553.500000,1553.500000,1553.500000,1553.500000,0
1992-12-29,1552.300049,1552.300049,1552.300049,1552.300049,1552.300049,0
1992-12-30,1564.699951,1564.699951,1564.699951,1564.699951,1564.699951,0
1992-12-31,null,null,null,null,null,null
1993-01-03,1576.099976,1576.099976,1576.099976,1576.099976,1576.099976,0
1993-01-04,1579.900024,1579.900024,1579.900024,1579.900024,1579.900024,0
1993-01-05,1554.800049,1554.800049,1554.800049,1554.800049,1554.800049,0
1993-01-06,1542.099976,1542.099976,1542.099976,1542.099976,1542.099976,0
1993-01-07,1510.400024,1510.400024,1510.400024,1510.400024,1510.400024,0
1993-01-10,1523.599976,1523.599976,1523.599976,1523.599976,1523.599976,0
1993-01-11,1517.900024,1517.900024,1517.900024,1517.900024,1517.900024,0
1993-01-12,1502.199951,1502.199951,1502.199951,1502.199951,1502.199951,0
1993-01-13,1515.400024,1515.400024,1515.400024,1515.400024,1515.400024,0
1993-01-14,1534.099976,1534.099976,1534.099976,1534.099976,1534.099976,0
1993-01-17,1538.300049,1538.300049,1538.300049,1538.300049,1538.300049,0
1993-01-18,1527.599976,1527.599976,1527.599976,1527.599976,1527.599976,0
1993-01-19,1530.900024,1530.900024,1530.900024,1530.900024,1530.900024,0
1993-01-20,1528.400024,1528.400024,1528.400024,1528.400024,1528.400024,0
1993-01-21,1533.000000,1533.000000,1533.000000,1533.000000,1533.000000,0
1993-01-24,1532.800049,1532.800049,1532.800049,1532.800049,1532.800049,0
1993-01-25,1539.099976,1539.099976,1539.099976,1539.099976,1539.099976,0
1993-01-26,1544.400024,1544.400024,1544.400024,1544.400024,1544.400024,0
1993-01-27,1536.099976,1536.099976,1536.099976,1536.099976,1536.099976,0
1993-01-28,1536.500000,1536.500000,1536.500000,1536.500000,1536.500000,0
1993-01-31,1538.300049,1538.300049,1538.300049,1538.300049,1538.300049,0
